ID	Age	Sex	LicYr	LicMth	ActCar	Kids5	Kids6	PreferCar	Car15K	Reason	Cost	Reliable	Perform	Fuel	Safety	AC/PS	Park	Room	Doors	Prestige	Colour
197	21	1	2	0	3	2	1	4	2	1	4	4	4	4	4	2	2	4	2	2	2
198	28	2	10	0	1	2	2	4	2	6	4	4	3	3	2	2	3	4	2	3	2
199	19	1	2	0	2	2	2	1	1	2	4	4	3	3	3	2	3	2	1	3	2
200	27	1	9	0	3	2	2	4	1	2	3	4	3	3	4	3	3	3	2	2	2
202	43	1	26	0	1	2	2	3	1	6	4	4	4	3	3	4	4	3	3	3	4
204	18	1	0	6	3	2	2	1	1	1	4	4	4	4	4	3	3	3	2	3	3
205	73	2	49	0	2	2	2	2	2	3	4	4	2	4	4	4	3	3	3	2	3
206	29	1	4	0	2	2	2	4	1	1	2	4	4	3	4	3	3	3	2	2	3
207	74	2	57	0	3	2	2	3	2	2	3	4	4	2	3	4	2	4	4	2	3
208	47	1	16	0	2	2	2	2	2	5	4	4	4	4	4	4	3	4	4	3	4
209	50	1	30	0	2	2	2	2	1	1	2	4	4	4	4	4	4	4	4	4	2
210	38	1	18	0	2	2	1	1	1	1	3	4	4	3	4	4	4	3	4	2	2
211	18	2	0	7	2	2	1	3	2	3	4	4	3	3	3	3	2	3	3	2	2
212	71	1	50	0	2	2	2	2	2	6	3	4	4	4	4	4	4	4	2	2	2
213	45	1	28	0	1	2	2	1	1	4	4	4	4	4	3	3	3	3	1	1	3
214	50	1	23	0	1	2	1	2	2	1	4	4	3	4	4	3	3	3	3	2	3
215	45	1	27	0	1	2	2	1	1	1	4	4	4	4	4	4	3	3	2	2	2
216	48	1	24	0	1	2	2	1	1	5	3	4	3	4	4	4	3	2	3	1	3
217	24	1	6	0	1	2	2	2	2	5	4	4	4	3	4	4	4	4	4	2	1
218	18	1	0	2	2	2	1	1	1	3	4	4	4	4	3	2	2	3	1	1	1
219	49	2	31	0	3	2	1	3	2	4	2	4	4	2	4	4	1	4	3	3	1
220	27	2	9	0	1	2	1	3	1	6	1	4	4	1	4	4	4	4	1	2	4
221	43	1	24	0	3	2	2	2	2	1	3	3	3	4	4	1	3	3	3	2	3
222	18	2	0	10	2	2	2	2	1	2	3	4	3	3	4	2	3	3	3	2	2
223	24	2	6	0	1	1	2	2	2	6	3	3	4	3	3	2	2	3	3	3	2
224	19	1	1	0	1	2	2	2	1	2	3	4	4	4	4	4	3	3	3	2	2
228	46	2	29	0	3	2	1	2	1	3	3	4	3	3	4	3	1	2	4	2	2
230	38	1	20	0	1	2	2	1	1	2	3	4	4	3	4	3	4	4	2	1	1
233	48	1	28	0	2	2	1	2	1	4	3	4	4	3	4	4	4	3	3	3	3
235	26	1	8	0	3	2	2	3	2	5	3	4	4	4	4	3	3	4	4	3	2
236	46	1	22	0	2	2	2	2	2	6	3	4	4	4	3	4	3	3	1	3	2
238	68	2	35	0	2	1	2	2	2	2	4	4	3	3	3	4	4	3	3	1	3
239	67	2	50	0	3	2	2	3	2	6	4	4	4	4	4	2	4	4	4	3	2
240	21	2	3	0	3	2	2	3	2	4	4	4	4	2	3	4	1	3	3	3	1
75	51	1	35	0	1	2	2	2	2	1	1	3	2	3	4	3	3	2	3	1	4
76	22	2	6	0	1	2	2	1	1	4	1	4	4	1	3	2	2	3	2	3	2
77	21	2	4	0	2	2	2	4	2	2	3	4	4	4	2	2	3	4	1	3	3
78	43	1	26	0	1	2	2	2	1	1	3	4	3	4	3	4	3	3	4	3	2
79	22	2	3	0	3	2	2	3	2	5	4	4	3	3	3	3	2	3	3	2	3
80	20	2	3	0	2	2	2	2	1	4	4	4	3	4	4	4	3	3	4	1	2
81	36	2	17	0	1	2	1	1	1	4	3	3	3	3	2	2	3	3	3	1	2
83	52	1	27	0	2	2	2	2	2	1	3	4	4	3	4	4	3	3	3	1	2
84	18	2	1	0	3	2	2	1	2	2	3	4	3	2	4	1	1	3	1	3	3
85	18	2	0	2	2	2	1	2	2	4	3	3	4	3	3	2	2	3	4	1	1
86	24	2	5	0	2	2	2	4	2	2	4	2	2	3	3	1	1	4	2	1	1
87	20	1	2	0	1	2	2	1	1	2	3	4	3	4	4	2	3	3	2	2	2
88	18	1	0	7	2	1	1	1	1	2	3	4	4	4	4	3	4	3	2	3	3
89	46	1	26	0	2	2	2	2	1	1	3	4	3	4	4	3	4	3	4	3	3
90	21	1	4	0	1	2	2	1	2	1	4	4	3	4	4	3	3	3	3	3	4
91	20	2	2	0	2	2	2	2	2	3	4	4	3	3	2	1	1	2	1	4	1
92	18	1	0	1	1	1	2	1	1	2	3	4	3	3	4	2	3	2	2	2	3
93	18	2	2	0	3	2	1	3	2	5	3	4	3	2	3	3	2	3	1	1	2
94	19	1	2	0	1	2	1	3	1	2	3	4	3	3	4	1	2	2	1	1	1
250	21	2	3	0	1	2	2	3	2	4	4	4	4	3	3	4	3	3	1	3	3
251	22	2	3	6	1	2	2	1	1	4	3	4	3	3	3	2	2	3	2	2	2
252	20	2	1	6	2	2	2	4	2	6	2	3	4	2	3	2	2	3	4	2	4
253	49	2	30	0	3	1	2	4	1	5	3	4	4	3	4	4	1	4	1	1	1
283	22	2	4	0	2	2	2	3	2	3	4	4	2	3	4	2	3	2	2	2	1
254	19	2	1	0	2	2	1	2	1	5	3	4	3	4	4	3	3	4	2	2	2
356	48	2	31	0	3	2	1	3	2	3	4	4	4	4	4	2	2	3	2	1	3
357	19	1	1	0	3	2	2	2	1	1	3	4	3	3	4	3	4	3	2	2	2
358	70	2	52	0	2	2	2	2	1	1	3	4	4	4	4	3	3	3	4	2	1
359	55	1	29	0	3	2	2	2	2	1	3	4	3	4	4	3	2	4	3	3	3
361	37	2	20	0	2	2	2	2	2	5	2	4	4	3	4	4	3	3	4	1	1
367	21	2	3	0	1	2	2	1	2	3	2	3	4	2	3	1	1	1	1	3	1
362	23	2	5	0	2	2	1	2	2	5	4	3	4	4	4	3	2	4	3	2	2
383	24	1	7	0	1	2	2	2	2	6	3	4	4	4	4	4	4	4	4	4	3
380	62	2	25	0	1	2	2	1	1	1	4	4	4	4	4	4	4	3	3	3	3
384	26	2	8	0	1	2	2	4	1	5	4	4	3	3	3	3	2	3	4	2	3
385	56	1	39	0	1	1	2	2	1	3	3	4	3	3	4	4	3	3	3	2	3
386	27	1	9	0	2	2	2	2	2	6	3	4	4	3	4	3	2	3	2	3	3
387	27	2	10	0	1	2	2	2	2	4	3	4	4	3	4	4	3	3	2	3	3
388	30	1	12	0	3	2	2	2	1	6	4	4	4	4	4	4	2	4	4	4	4
389	66	1	40	0	2	2	2	3	2	1	4	4	4	4	4	4	4	4	4	4	4
390	48	1	21	0	3	2	2	2	1	1	3	4	2	2	4	3	1	3	3	2	2
391	21	1	3	0	3	2	2	2	1	3	4	4	2	3	3	3	3	1	1	1	3
392	20	2	0	10	3	2	2	3	1	1	4	4	4	4	4	4	4	4	4	4	4
393	30	2	12	6	1	2	2	3	2	6	4	4	4	3	4	4	4	4	4	4	4
95	55	2	37	0	2	2	2	2	2	5	3	3	3	3	2	3	3	3	2	2	2
96	20	1	2	0	2	2	2	2	2	1	3	4	2	4	4	3	3	3	3	2	2
97	26	1	8	0	1	2	2	1	1	1	4	4	3	3	4	3	3	3	2	3	4
99	25	2	8	0	1	2	2	4	1	3	4	4	2	3	4	2	3	3	2	1	1
100	37	1	19	0	3	2	1	3	2	4	4	4	3	4	4	4	3	3	4	1	1
101	40	1	22	0	2	2	1	2	2	3	4	4	4	3	3	4	4	3	2	1	1
102	22	2	4	0	3	2	2	3	2	3	3	4	3	2	4	1	2	4	2	2	1
103	22	1	2	0	3	2	2	2	2	1	3	4	4	2	4	2	3	3	3	1	1
104	51	1	31	0	3	2	2	2	2	6	3	4	4	3	4	4	4	4	4	3	4
105	24	2	6	0	1	2	2	1	2	5	3	4	4	3	3	1	3	3	1	2	2
106	22	1	4	0	2	2	2	2	2	3	3	4	3	4	4	4	2	4	2	1	1
107	23	1	5	0	1	1	2	1	1	3	4	3	3	3	4	4	4	3	1	2	2
108	18	2	0	1	2	2	1	1	1	3	4	3	3	4	3	2	3	2	2	1	1
109	26	1	8	0	3	2	2	2	1	1	3	4	4	3	4	3	3	3	3	2	1
255	18	1	0	6	2	2	2	1	1	5	4	4	4	4	4	4	3	2	2	2	3
285	36	1	21	0	1	2	2	1	1	5	3	4	4	4	4	2	4	3	4	1	3
256	24	1	6	0	2	2	2	2	2	2	3	4	3	4	4	3	3	3	3	2	2
257	26	2	10	0	1	2	2	2	2	2	3	4	3	3	3	3	2	3	2	2	2
287	44	1	25	0	2	2	2	2	2	5	1	4	3	4	4	4	4	3	3	4	3
258	20	2	2	0	1	2	2	1	1	2	3	4	2	2	3	1	2	2	2	2	2
262	65	2	47	0	2	2	2	2	2	2	3	4	3	4	4	3	3	3	2	2	3
294	20	2	2	0	1	2	1	2	2	2	4	4	2	4	2	1	1	4	4	1	1
263	65	1	26	0	3	1	2	3	1	6	4	4	4	4	4	4	4	4	4	3	3
295	20	2	3	0	3	2	2	1	1	2	4	3	3	4	3	2	3	3	2	1	2
264	44	1	26	0	2	2	1	2	2	1	3	4	3	4	4	3	3	3	3	2	2
267	28	2	10	0	3	2	2	2	2	1	4	4	3	3	4	3	2	2	2	1	2
329	47	2	30	0	1	2	2	1	1	1	3	4	4	3	4	3	4	3	2	1	3
307	40	1	19	0	2	2	1	1	1	1	4	4	3	4	4	4	4	3	1	1	1
331	25	2	9	0	1	2	2	2	2	6	4	4	4	4	1	4	2	2	3	4	3
332	18	2	0	6	2	2	2	2	2	2	4	4	3	3	2	2	2	4	3	2	3
308	42	1	24	0	3	2	2	2	2	2	3	4	3	3	4	4	4	3	3	2	3
309	24	2	7	0	2	2	2	3	2	2	3	3	3	2	3	1	1	3	1	2	2
333	52	2	35	0	3	2	1	3	1	2	4	4	4	4	4	2	4	4	3	1	1
311	36	1	17	0	3	2	1	2	1	1	3	4	3	4	4	3	3	3	3	2	2
334	24	1	5	0	2	2	2	3	2	5	3	4	4	3	4	3	4	3	2	2	2
335	21	2	2	0	2	2	2	2	1	6	4	3	3	4	2	3	3	3	4	2	2
312	27	2	10	0	2	2	1	2	2	1	2	4	4	3	4	3	2	3	4	4	2
337	50	2	33	0	3	2	2	4	1	2	3	4	2	3	3	4	1	2	1	1	1
315	19	2	1	0	1	2	2	4	2	3	3	4	2	3	3	1	2	3	2	2	1
338	18	2	0	1	2	2	1	1	1	2	4	4	3	4	3	2	4	3	3	1	2
339	32	1	14	0	3	2	2	4	2	1	4	4	3	4	4	3	4	4	2	2	1
316	22	1	3	0	1	2	2	1	1	2	4	4	4	4	3	2	3	2	3	2	2
340	38	1	20	0	3	2	1	1	2	3	3	4	3	3	3	3	4	4	3	1	1
341	40	2	23	0	3	2	2	3	2	2	3	4	4	4	4	4	3	4	4	3	1
317	24	2	2	0	2	2	2	2	2	3	4	4	3	3	3	2	2	2	3	1	1
318	23	1	5	0	2	2	2	2	1	2	3	4	4	4	3	2	3	3	2	2	1
345	69	1	39	0	3	2	2	3	1	5	3	3	3	3	4	4	3	3	3	2	3
323	39	2	7	0	1	2	1	2	1	5	4	4	4	3	4	3	2	4	3	1	3
347	75	2	44	0	3	2	2	3	1	1	4	4	4	3	4	4	2	2	3	3	3
324	19	2	0	3	3	1	2	1	1	6	4	4	4	4	3	2	1	4	1	1	1
348	43	1	26	0	3	2	2	2	2	4	4	4	3	3	4	4	4	3	4	3	3
349	55	2	38	0	3	2	2	4	1	3	3	4	3	3	4	3	3	3	3	2	3
